iter	RMSE
0	14.61553842
1	14.24006617
2	13.9055464
3	13.56460957
4	13.22652718
5	12.91599757
6	12.59275218
7	12.30683755
8	12.01692022
9	11.7274183
10	11.48452848
11	11.24201069
12	10.99103771
13	10.76992701
14	10.55092309
15	10.34950176
16	10.1404288
17	9.956907859
18	9.767424681
19	9.586382007
20	9.396514032
21	9.242687445
22	9.081051572
23	8.927248196
24	8.79815904
25	8.662347209
26	8.524143197
27	8.379064669
28	8.259883604
29	8.145173391
30	8.038753975
31	7.941285557
32	7.850805538
33	7.752367237
34	7.654323182
35	7.563029405
36	7.485025997
37	7.403031753
38	7.326088346
39	7.246935605
40	7.1657457
41	7.100982811
42	7.03739357
43	6.982763296
44	6.9201183
45	6.858610714
46	6.807888902
47	6.757328691
48	6.706148008
49	6.662789058
50	6.617690349
51	6.570958725
52	6.526810521
53	6.494394883
54	6.457999846
55	6.420523604
56	6.379286784
57	6.341356002
58	6.309745928
59	6.275709708
60	6.248138935
61	6.218166659
62	6.189399418
63	6.164291306
64	6.140740394
65	6.117868706
66	6.095962236
67	6.075170595
68	6.057299683
69	6.037417635
70	6.020550234
71	6.008193136
72	5.994091282
73	5.974523918
74	5.957026802
75	5.942940545
76	5.926022225
77	5.912870506
78	5.902312616
79	5.89021595
80	5.876539773
81	5.866151618
82	5.854224952
83	5.844657909
84	5.836085523
85	5.826453488
86	5.815518673
87	5.80348451
88	5.793726397
89	5.78446329
90	5.776143594
91	5.766018816
92	5.758086268
93	5.75254767
94	5.745112641
95	5.736345245
96	5.731271668
97	5.720664217
98	5.714347654
99	5.706098311
100	5.700967028
101	5.693517986
102	5.686084988
103	5.678862894
104	5.673548219
105	5.666770459
106	5.65962786
107	5.654654135
108	5.648508601
109	5.643444387
110	5.638150771
111	5.633657004
112	5.62933747
113	5.624302572
114	5.622231109
115	5.616762484
116	5.612286673
117	5.608051862
118	5.603844923
119	5.600865244
120	5.596774909
121	5.591878185
122	5.585406315
123	5.580636755
124	5.576893512
125	5.573514825
126	5.570538044
127	5.5660424
128	5.563805542
129	5.562749676
130	5.559554111
131	5.554382195
132	5.552275282
133	5.548632995
134	5.545011496
135	5.541683138
136	5.536082125
137	5.532049492
138	5.525253114
139	5.521153857
140	5.515742681
141	5.512667927
142	5.51162387
143	5.508638559
144	5.503950441
145	5.498931829
146	5.494466523
147	5.491815937
148	5.488331333
149	5.484313088
150	5.479669989
151	5.477792269
152	5.475238547
153	5.469932716
154	5.467953488
155	5.463469045
156	5.456052725
157	5.45387968
158	5.450820013
159	5.446519853
160	5.44235868
161	5.43887756
162	5.43541273
163	5.43104453
164	5.428111888
165	5.425752479
166	5.424775929
167	5.422222464
168	5.420055671
169	5.417991855
170	5.4161392
171	5.414702292
172	5.411548966
173	5.410022186
174	5.40802449
175	5.403495698
176	5.401168508
177	5.39629493
178	5.392969576
179	5.39009793
180	5.386512902
181	5.382825907
182	5.37772237
183	5.375473957
184	5.371538448
185	5.368963553
186	5.365805976
187	5.362151657
188	5.360542438
189	5.357947669
190	5.352817116
191	5.351213331
192	5.347943104
193	5.34374377
194	5.341336495
195	5.338416571
196	5.333490948
197	5.330145128
198	5.325707032
199	5.323146723
200	5.318759953
201	5.316521933
202	5.311227309
203	5.308122
204	5.306347328
205	5.30469274
206	5.301325786
207	5.297304724
208	5.294978566
209	5.290651397
210	5.287844607
211	5.283772861
212	5.282036226
213	5.280341035
214	5.277068599
215	5.272396875
216	5.266527607
217	5.26150671
218	5.257248525
219	5.250044669
220	5.248068949
221	5.242363226
222	5.238044405
223	5.237373553
224	5.234005843
225	5.229995494
226	5.226589337
227	5.223156828
228	5.219100958
229	5.215935431
230	5.212714059
231	5.210217955
232	5.202608769
233	5.199336723
234	5.195318054
235	5.192707547
236	5.189441822
237	5.185539648
238	5.181795242
239	5.18100359
240	5.177982839
241	5.172809711
242	5.171325052
243	5.164840593
244	5.161189938
245	5.15798076
246	5.15421062
247	5.150245138
248	5.144580881
249	5.140849703
250	5.137782415
251	5.135358331
252	5.130456382
253	5.128870324
254	5.124964667
255	5.122399989
256	5.119298976
257	5.111882406
258	5.110390354
259	5.109009656
260	5.102121146
261	5.095201365
262	5.09142233
263	5.087903648
264	5.085111304
265	5.082550178
266	5.07596399
267	5.072322463
268	5.06946548
269	5.064521011
270	5.059426222
271	5.055270951
272	5.053826075
273	5.052607594
274	5.05006065
275	5.044686829
276	5.041461612
277	5.039759469
278	5.035131993
279	5.030820114
280	5.028419857
281	5.024617176
282	5.019617366
283	5.01657385
284	5.01287253
285	5.010242262
286	5.007340304
287	5.00290065
288	5.000755928
289	4.998560777
290	4.994861447
291	4.992837169
292	4.99061334
293	4.98799099
294	4.983297038
295	4.978010399
296	4.972950875
297	4.969595755
298	4.966411486
299	4.963150194
300	4.958041926
301	4.955855089
302	4.954378166
303	4.950839311
304	4.94866896
305	4.947581606
306	4.944416131
307	4.941421652
308	4.93955382
309	4.93618785
310	4.932791886
311	4.930989748
312	4.929562664
313	4.925340287
314	4.922567984
315	4.918348566
316	4.913860456
317	4.910511588
318	4.909765019
319	4.90822361
320	4.906316493
321	4.903299801
322	4.901658593
323	4.896981744
324	4.894966028
325	4.892601824
326	4.887553844
327	4.882699274
328	4.879615919
329	4.876676952
330	4.874723155
331	4.874198255
332	4.872722846
333	4.869773718
334	4.867788463
335	4.865543877
336	4.862598798
337	4.857828399
338	4.856585134
339	4.853713745
340	4.853354089
341	4.84872899
342	4.84472084
343	4.842603649
344	4.839854481
345	4.834529379
346	4.832827473
347	4.827569524
348	4.824078404
349	4.823557351
350	4.821212313
351	4.820543026
352	4.81627693
353	4.812523431
354	4.810334189
355	4.804655513
356	4.803614836
357	4.801850236
358	4.800421918
359	4.798670849
360	4.797214726
361	4.792720665
362	4.790470486
363	4.786820514
364	4.783360099
